date,ovx_level,gate_hmm_no_scaleup,gate_hmm_with_scaleup,prob_calm,prob_normal,prob_stress,state,reason
2025-02-13,31.47,0.9931150170932137,0.993893004017721,0.9997410990839127,0.0002572501331299598,1.65078567565394e-06,2,HMM: calm regime (OVX=31.5)
2025-02-14,28.46,0.9931150170932137,0.9955556210790103,0.999836951684039,0.0001382040931716028,2.4844221335072298e-05,2,HMM: calm regime (OVX=28.5)
2025-02-18,27.47,0.9957908387009187,1.0017867895901111,0.9980409655810593,0.001871524411291363,8.751000804546437e-05,2,HMM: calm regime (OVX=27.5)
2025-02-19,28.36,0.9957908387009187,1.0037266409424883,0.9965091111411559,0.002303770087923972,0.0011871187685233897,2,HMM: calm regime (OVX=28.4)
2025-02-20,29.3,0.9980956313416247,1.0069780614261723,0.9854110887808981,0.012408116276473981,0.002180794946167571,2,HMM: calm regime (OVX=29.3)
2025-02-21,35.79,0.9930642698593974,1.0019466999439453,0.9179971142317881,0.06992152063352623,0.012081365133848299,2,HMM: calm regime (OVX=35.8)
2025-02-24,31.3,0.9913746189789967,0.9981379901476439,0.8699617157315727,0.062306048313058505,0.06773223595431258,2,HMM: calm regime (OVX=31.3)
2025-02-25,32.77,0.987872991774629,0.9910810160398803,0.7241990972537491,0.21438015938801447,0.06142074335668367,2,HMM: calm regime (OVX=32.8)
2025-02-26,33.36,0.9836713465307316,0.9846179743737092,0.648802840831915,0.14185726566321766,0.20933989350793988,2,HMM: calm regime (OVX=33.4)
2025-02-27,31.72,0.9814537321046141,0.9814537321046135,0.5774488848896112,0.2834289426658622,0.13912217244138247,2,HMM: calm regime (OVX=31.7)
2025-02-28,29.97,0.988389462245217,0.988429486263529,0.2390574429049605,0.47938265767147076,0.28155989942706,1,HMM: normal regime (OVX=30.0)
2025-03-03,38.52,0.9803257511998625,0.9803657752181746,0.003179352220931879,0.530620561952567,0.4662000858230382,1,HMM: normal regime (OVX=38.5)
2025-03-04,37.52,0.9750774827019594,0.9751175067202714,0.0007392497025118898,0.4704088690829783,0.5288518812157463,0,HMM: stress regime (OVX=37.5)
2025-03-05,35.04,0.9731628851231469,0.9732029091414589,0.0006148601736914592,0.5388726364217864,0.46051250340728306,1,HMM: normal regime (OVX=35.0)
2025-03-06,37.14,0.9670203691733187,0.9670603931916307,4.6637801730794465e-05,0.4615867048774485,0.5383666573229768,0,HMM: stress regime (OVX=37.1)
2025-03-07,29.75,0.9670203691733187,0.9673553794271523,0.00033774186330403364,0.5495470569418361,0.4501152011962025,1,HMM: normal regime (OVX=29.8)
2025-03-10,34.82,0.9709018710072439,0.9712368812610777,0.00023408251705413287,0.44890470272966954,0.550861214750695,0,HMM: stress regime (OVX=34.8)
2025-03-11,31.83,0.9772972613050864,0.9776322715589201,3.878435559343782e-05,0.5620151213675972,0.4379460942762623,1,HMM: normal regime (OVX=31.8)
2025-03-12,31.09,0.9819910331057902,0.9823260433596239,0.00017551866807284024,0.4364065584899259,0.563417922845106,0,HMM: stress regime (OVX=31.1)
2025-03-13,32.8,0.9868135782960756,0.9871485885499094,0.00022182615618039105,0.5748725357805516,0.4249056380656162,1,HMM: normal regime (OVX=32.8)
2025-03-14,33.52,0.9824246554684288,0.9824246554684285,0.0006045274960329698,0.4230419502303351,0.5763535222736365,0,HMM: stress regime (OVX=33.5)
2025-03-17,30.9,0.9871176514848733,0.987117651484873,0.0032456416038074017,0.5895976523511077,0.407156706044765,1,HMM: normal regime (OVX=30.9)
2025-03-18,36.12,0.9821823551811258,0.9821823551811255,0.008466429516668355,0.4041215474846681,0.5874120230021442,0,HMM: stress regime (OVX=36.1)
2025-03-19,33.87,0.978809947446312,0.9788099474463117,0.022887269617757926,0.6026873117556681,0.3744254186238258,1,HMM: normal regime (OVX=33.9)
2025-03-20,29.72,0.9823475326319722,0.9827229710489552,0.025766044660664653,0.3716361500708982,0.6025978052676546,0,HMM: stress regime (OVX=29.7)
2025-03-21,28.43,0.986736455459619,0.9892735909493119,0.015507716756278501,0.6293028024636832,0.35518948077763696,1,HMM: normal regime (OVX=28.4)
2025-03-24,29.67,0.9879153195350046,0.9908953826578525,0.014538404716852468,0.3528783095423213,0.632583285738265,0,HMM: stress regime (OVX=29.7)
2025-03-25,28.27,0.9952051212431803,1.0005752004479256,6.37402814479395e-05,0.6626484076228113,0.3372878520944236,1,HMM: normal regime (OVX=28.3)
2025-03-26,28.84,1.0,1.0069536785421604,0.00014604665757637732,0.332173300251727,0.6676806530885165,0,HMM: stress regime (OVX=28.8)
2025-03-27,28.49,1.0,1.008654714784757,0.0008378779130084984,0.6831021258877835,0.3160599961994365,1,HMM: normal regime (OVX=28.5)
2025-03-28,28.7,1.0,1.0082729013545488,0.00270149361261279,0.309926634119502,0.6873718722653396,0,HMM: stress regime (OVX=28.7)
2025-03-31,30.88,0.9988468832881736,1.0066768570095672,0.011134478465681961,0.7040994865348554,0.2847660349983667,1,HMM: normal regime (OVX=30.9)
2025-04-01,30.57,0.9980954283762131,1.0035353860157095,0.01731934645352971,0.27842246117164265,0.7042581923764877,0,HMM: stress regime (OVX=30.6)
2025-04-02,29.98,0.9980954283762131,1.0019784640165652,0.014609318564419126,0.7268945418802386,0.2584961395539412,1,HMM: normal regime (OVX=30.0)
2025-04-03,35.45,0.9915286204557413,0.9933351814365132,0.0037829313072555264,0.2613836156250138,0.7348334530656595,0,HMM: stress regime (OVX=35.5)
2025-04-04,44.72,0.9761805659036383,0.9762072432419087,4.3725451845795603e-16,0.7598408912884242,0.24015910871084747,1,HMM: normal regime (OVX=44.7)
2025-04-07,52.81,0.9559458387402502,0.9559725160785204,6.637873210917984e-34,0.23888360324522553,0.7611163967529165,0,HMM: stress regime (OVX=52.8)
2025-04-08,55.26,0.933696806267571,0.9337234836058412,1.284474274312598e-50,0.8183272548929468,0.18167274511014206,1,HMM: normal regime (OVX=55.3)
2025-04-09,42.9,0.919889565620841,0.9198895656208406,6.678125327125322e-34,0.19096592348959054,0.8090340765087087,0,HMM: stress regime (OVX=42.9)
2025-04-10,49.0,0.9077635650389981,0.9077635650389977,6.953632512116849e-39,0.8222679945702523,0.17773200543170922,1,HMM: normal regime (OVX=49.0)
2025-04-11,50.88,0.9030587088424976,0.9030587088424973,3.090734509118446e-36,0.18846271024076253,0.8115372897606425,0,HMM: stress regime (OVX=50.9)
2025-04-14,47.76,0.9066855776207566,0.9066855776207561,1.6298249179887084e-37,0.8131483866637329,0.1868516133374062,1,HMM: normal regime (OVX=47.8)
2025-04-15,42.31,0.9163952320852375,0.9163952320852371,5.267187552660829e-43,0.1765700745298969,0.8234299254666431,0,HMM: stress regime (OVX=42.3)
2025-04-16,43.56,0.9158275606650037,0.9158275606650031,4.2918482782738085e-39,0.8156463336132453,0.18435366638941572,1,HMM: normal regime (OVX=43.6)
2025-04-17,41.27,0.9221612024160732,0.9221612024160727,1.6127683441203256e-38,0.1917065574340025,0.8082934425664787,0,HMM: stress regime (OVX=41.3)
