date,ovx_level,gate_hmm_no_scaleup,gate_hmm_with_scaleup,state,prob_calm,prob_normal,prob_stress
2023-10-16,40.7,0.8314620225131849,0.8314620225131846,2,1.7625188618693412e-12,2.9112386542286863e-13,1.0
2023-10-17,41.37,0.8267696763884513,0.8267696763884512,2,5.585454916207491e-12,8.958739578886845e-13,0.999999999992724
2023-10-18,44.4,0.8133908430357117,0.8133908430357113,2,2.5165823647219535e-16,4.42676615640162e-17,1.0
2023-10-19,45.7,0.7960583435951797,0.7960583435951795,2,6.136186777518836e-19,1.163845885795202e-19,1.0
2023-10-20,43.79,0.7970640708784196,0.7970640708784191,2,1.3716453273274919e-15,2.943118643079308e-16,1.0
2023-10-23,41.74,0.7944779858654641,0.7944779858654637,2,2.085558781442993e-13,3.912519480123103e-14,1.0
2023-10-24,41.08,0.7951988883716392,0.7951988883716388,2,5.972085756276538e-12,1.0339970852145333e-12,0.999999999992724
2023-10-25,44.91,0.7940854860065703,0.7940854860065698,2,8.050041936960408e-14,1.4652680403660257e-14,1.0
2023-10-26,43.93,0.7979282301385188,0.7979282301385183,2,6.266259143153388e-13,1.0795113755667792e-13,1.0
2023-10-27,46.64,0.7918268461062128,0.7918268461062125,2,1.39828125770713e-14,2.344329488893789e-15,1.0
2023-10-30,44.01,0.7865299508808882,0.7865299508808878,2,2.5608683392048612e-11,5.205402081515434e-12,0.9999999999708962
2023-10-31,41.99,0.7842950094600811,0.7842950094600807,2,5.179640529655063e-08,7.862722231812533e-08,0.9999998695784683
2023-11-01,40.52,0.7946154563573502,0.7946154563573499,2,1.462708286086249e-06,1.8815698666881607e-05,0.9999797215951459
2023-11-02,39.79,0.8046718742326828,0.8046718742326824,2,3.438845104543456e-05,8.932746229717594e-05,0.9998762840833042
2023-11-03,38.53,0.823920576059245,0.8239205760592446,2,9.548247264656313e-05,0.00020574138439191932,0.9996987761447227
2023-11-06,36.31,0.8440247860313809,0.8440247860313805,2,0.0007465055270417278,0.014652453600798252,0.9846010408688173
2023-11-07,38.72,0.8450034018957471,0.8450034018957467,0,0.033897469664424786,0.5844577189170073,0.3816448114209857
2023-11-08,40.44,0.8367586694309528,0.8367586694309525,1,0.5934108395433941,0.282534871649136,0.12405428881077529
2023-11-09,41.23,0.8242010175361157,0.8242010175361154,0,0.303932411145194,0.6488358007455984,0.047231788106656826
2023-11-10,39.29,0.8143339588898186,0.8143339588898183,1,0.6598211604211727,0.3268604030573939,0.013318436520424443
2023-11-13,39.4,0.7976436962878892,0.7976436962878888,0,0.34664652166856547,0.6489235308318773,0.004429947496644279
2023-11-14,38.29,0.7991071061790459,0.7991071061790455,1,0.6615654805808563,0.3373087228842808,0.001125796532264597
2023-11-15,39.51,0.8020660045578941,0.8020660045578938,0,0.3549424568667158,0.6445153086842931,0.0005422344523837486
2023-11-16,42.53,0.798262042161729,0.7982620421617288,1,0.65726281540945,0.3424957433552268,0.00024144123521073008
2023-11-17,40.43,0.7946159359515061,0.7946159359515057,0,0.3612324494628323,0.6386708049123155,9.674562302760509e-05
2023-11-20,39.0,0.7959341063463697,0.7959341063463693,1,0.6519100976642049,0.3480486689567693,4.1233380399274834e-05
2023-11-21,38.52,0.7951476943886837,0.7951476943886834,0,0.3660481169887955,0.6338845223270484,6.736068523588882e-05
2023-11-22,42.76,0.7853146185193758,0.7853146185193755,1,0.6475615047062991,0.3522271427594903,0.00021135253138469454
2023-11-24,43.38,0.782938615852428,0.7829386158524276,0,0.37126384945660124,0.6285936524982697,0.00014249804466739572
2023-11-27,43.9,0.7728959072708004,0.7728959072708,1,0.6422976773895459,0.3574680854810815,0.00023423712985296005
2023-11-28,43.14,0.7603240119513845,0.7603240119513843,0,0.3773200286579049,0.6221507338096882,0.0005292375296680029
2023-11-29,42.9,0.7468068243651421,0.7468068243651418,1,0.6368597515636848,0.36221385425454594,0.0009263941852901554
2023-11-30,39.4,0.7569981836408138,0.7569981836408136,0,0.3817883280911237,0.6164404036223141,0.0017712682863469224
2023-12-01,35.7,0.7821152563654155,0.782115256365415,1,0.6297550704551459,0.35590212221624323,0.01434280733145281
2023-12-04,38.08,0.7998883455441949,0.7998883455441945,0,0.3738504640135178,0.6143438354198257,0.011805700568777168
2023-12-05,36.36,0.8218114824517025,0.8218114824517022,1,0.6284654682648004,0.36200137413885913,0.009533157594692983
2023-12-06,39.72,0.8313588928164355,0.831358892816435,0,0.37995127724902855,0.6189598152850126,0.0010889074661032856
2023-12-07,37.82,0.8367115223961441,0.8367115223961438,1,0.6333804313684663,0.3665148098375585,0.00010475879604721433
2023-12-08,36.24,0.8346340344462755,0.8346340344462752,0,0.38368180411795,0.6160346341464509,0.00028356173789603056
2023-12-11,35.3,0.8449664025253865,0.8449664025253861,1,0.6303399146176911,0.36761798907209714,0.00204209631334666
2023-12-12,36.38,0.8448909786110177,0.8448909786110175,0,0.3836556400986515,0.6016975007280772,0.014646859171277886
2023-12-13,36.6,0.8556975193537971,0.8556975193537968,1,0.6162159231265499,0.2947622713573977,0.0890218055125128
2023-12-14,33.98,0.8705576674570719,0.8705576674570714,0,0.3066068863199588,0.3200103634749581,0.3733827502028074
2023-12-15,35.13,0.8748903209391921,0.8748903209391917,1,0.3266731313074659,0.2221462661256087,0.45118060256736797
2023-12-18,37.09,0.8680775200870077,0.8680775200870073,0,0.23103473012380302,0.28143729786179267,0.4875279720117843
2023-12-19,35.04,0.8733018247670614,0.8733018247670611,1,0.28852474529947386,0.1892836409974754,0.5221916137015796
2023-12-20,34.98,0.8795932327395892,0.8795932327395889,0,0.19612964392169502,0.23165601820146328,0.5722143378776825
2023-12-21,35.44,0.873602044924678,0.8736020449246775,1,0.23749441710937919,0.15731312675053907,0.6051924561369241
2023-12-22,33.32,0.8812216507531112,0.881221650753111,0,0.16313407742149244,0.23362681540916636,0.6032391071664771
2023-12-26,34.53,0.8911600299384889,0.8911600299384885,1,0.2438702667347431,0.2916903505773751,0.4644393826845463
2023-12-27,35.41,0.889681953242025,0.8896819532420247,0,0.3093612938412822,0.6404518157932065,0.050186890365368095
2023-12-28,36.45,0.8839519129162576,0.8839519129162573,1,0.6535739428295689,0.34456397728990407,0.001862079876953527
2023-12-29,36.22,0.880929800895046,0.8809298008950457,0,0.3634359757982771,0.6365348817496101,2.914245539738561e-05
2024-01-02,39.05,0.8590060833711896,0.8590060833711892,1,0.650883235689273,0.34870225894725276,0.00041450536406856085
2024-01-03,38.22,0.8450636790232984,0.845063679023298,0,0.36963826657192755,0.630323425480692,3.830794670342403e-05
2024-01-04,37.58,0.836924525436995,0.8369245254369945,1,0.6443569305742257,0.3556353408688174,7.72856040408197e-06
2024-01-05,36.07,0.8383654477285676,0.838365447728567,0,0.37549668056329244,0.6244998868143796,3.432619430437836e-06
2024-01-08,36.79,0.8362300447539498,0.8362300447539495,1,0.6379684170295877,0.3620295056631056,2.0773093653426354e-06
2024-01-09,36.09,0.8467729691946191,0.8467729691946186,0,0.382281119466066,0.6177132593490994,5.6211833153170955e-06
2024-01-10,36.35,0.8535202162409592,0.8535202162409588,1,0.6312253327509417,0.36877152303688615,3.1442109765978243e-06
2024-01-11,36.78,0.8564201782373926,0.8564201782373922,0,0.3888007416890136,0.6111937707679607,5.487546023233932e-06
2024-01-12,40.64,0.840711102113864,0.8407111021138636,1,0.6251867573437727,0.3745543180739713,0.00025892458536376354
2024-01-16,38.34,0.8351942177134918,0.8351942177134914,0,0.3957630433946599,0.6041875038571338,4.945274743692682e-05
2024-01-17,37.06,0.8315724460133035,0.8315724460133032,1,0.6175581734671753,0.3824361904787472,5.636055963684141e-06
2024-01-18,35.98,0.8329820886003276,0.8329820886003272,0,0.40336554840044564,0.5966312012411371,3.250360237847492e-06
2024-01-19,35.79,0.836731915757983,0.8367319157579827,1,0.6099548157981999,0.3900423764807093,2.8077243379740505e-06
2024-01-22,35.71,0.8538315093160408,0.8538315093160405,0,0.41072130630644627,0.5892450521114883,3.364157944128838e-05
2024-01-23,34.99,0.8663045085350352,0.8663045085350347,1,0.6027401896424182,0.3972542807746719,5.5295842239155075e-06
2024-01-24,33.99,0.8784014543261425,0.878401454326142,0,0.41750066829839966,0.582493573445973,5.7582529560803e-06
2024-01-25,35.1,0.881861359660259,0.8818613596602587,1,0.5963757238586187,0.4036221632461441,2.112898236110003e-06
2024-01-26,34.78,0.8858843674508918,0.8858843674508915,0,0.4238679647117358,0.5761295192827853,2.5160045403971776e-06
2024-01-29,36.32,0.8835428207094337,0.8835428207094331,1,0.5901701663649643,0.40982739283489966,2.440799474993888e-06
2024-01-30,36.19,0.8788361745235352,0.8788361745235349,0,0.43023926361570963,0.5697568774448298,3.858937562550231e-06
2024-01-31,37.25,0.8660497166287534,0.8660497166287531,1,0.5841880965766266,0.41580380378576165,8.099640948867926e-06
2024-02-01,35.38,0.8649320400352917,0.8649320400352913,0,0.4365952604548117,0.5634019879948025,2.751548959805091e-06
2024-02-02,34.85,0.8646464547176136,0.8646464547176131,1,0.5771160989930403,0.42288219068698113,1.710317158175994e-06
2024-02-05,34.43,0.8721434219172892,0.8721434219172888,0,0.44342397567640796,0.5565731870448161,2.837280938625547e-06
2024-02-06,33.01,0.8852859317699195,0.8852859317699193,1,0.57036842768257,0.42962510611345317,6.466202390622065e-06
2024-02-07,31.21,0.9108583666022909,0.9108583666022906,0,0.4492730332150169,0.5505575196863404,0.00016944710054372434
2024-02-08,31.64,0.9272458556350116,0.9272458556350113,1,0.564090448589533,0.4358818352975473,2.7716110121023672e-05
2024-02-09,32.44,0.9377134121122064,0.9377134121122059,0,0.45494376815869353,0.5450405313379791,1.5700503231171224e-05
2024-02-12,32.69,0.9453014932624733,0.9453014932624729,1,0.5587474043928615,0.4412243803566304,2.8215248051121157e-05
2024-02-13,32.37,0.9482262184280724,0.9482262184280721,0,0.4593281693911797,0.5406647468727221,7.0837340385135794e-06
2024-02-14,32.76,0.9408563542337902,0.9408563542337898,1,0.5554735460203261,0.4445227410438915,3.712933836302156e-06
2024-02-15,32.02,0.9390345251437544,0.9390345251437541,0,0.4636658987661321,0.5363310905152684,3.010719574821145e-06
2024-02-16,30.84,0.9467924328816967,0.9467924328816963,1,0.551060346647623,0.44893556572087956,4.087631960842627e-06
2024-02-20,31.81,0.9509135416487571,0.9509135416487566,0,0.4671519631595073,0.5328447286622763,3.3081796387844783e-06
2024-02-21,31.05,0.9572873023297694,0.9572873023297689,1,0.5480582753657312,0.451938510355894,3.214277783147835e-06
2024-02-22,30.55,0.9679989896571449,0.9679989896571446,0,0.46987116803916334,0.5301237989223568,5.0330402033181415e-06
2024-02-23,31.31,0.971435187050537,0.9714351870505368,1,0.5453389598030338,0.4546574841530081,3.5560465880726046e-06
2024-02-26,31.71,0.9671294089244411,0.9671294089244405,0,0.4725853080084173,0.5274108644789046,3.827513565211381e-06
2024-02-27,31.35,0.9693663386620294,0.969366338662029,1,0.5432273999707327,0.4567685566274405,4.0434031381203035e-06
2024-02-28,31.21,0.9685679452197812,0.9685679452197808,0,0.47395649500834014,0.5260401271377882,3.3778556721332506e-06
2024-02-29,31.5,0.963797654017856,0.9637976540178557,1,0.542237902912468,0.45775850935465423,3.587735026487167e-06
2024-03-01,31.08,0.9649410503595357,0.9649410503595355,0,0.4750076202955283,0.5249906811626326,1.6985385966109741e-06
