date,ovx_level,gate_hmm_no_scaleup,gate_hmm_with_scaleup,state
2023-07-24,30.11,0.9923488466616041,0.994076855902881,1
2023-07-25,30.63,0.9912009279292635,0.9929289371705403,0
2023-07-26,29.97,0.9962277201242143,0.9980424083836198,1
2023-07-27,29.12,0.996659259287964,1.002887032935252,0
2023-07-28,29.41,0.996659259287964,1.0028868841565945,1
2023-07-31,28.48,0.9969760226478286,1.0109741905481069,0
2023-08-01,28.35,1.0,1.0189586335001102,1
2023-08-02,28.74,1.0,1.025262905593721,0
2023-08-03,28.54,1.0,1.0252182281305076,1
2023-08-04,28.06,1.0,1.0335362003179587,0
2023-08-07,27.73,1.0,1.0326983425617526,1
2023-08-08,27.14,1.0,1.042980134086795,0
2023-08-09,28.56,1.0,1.0408955976446022,1
2023-08-10,27.27,1.0,1.0510167561082562,0
2023-08-11,28.04,1.0,1.046909686992036,1
2023-08-14,27.55,1.0,1.0528663180428128,0
2023-08-15,28.3,1.0,1.0427412770310303,1
2023-08-16,28.54,1.0,1.0458851051680846,0
2023-08-17,29.3,1.0,1.03345104314979,1
2023-08-18,28.43,1.0,1.035550634192552,0
2023-08-21,28.9,1.0,1.025923275584758,1
2023-08-22,28.56,1.0,1.028149794730755,0
2023-08-23,28.47,1.0,1.0252854274650103,1
2023-08-24,28.88,1.0,1.0288869402183276,0
2023-08-25,28.81,1.0,1.0243852972824368,1
2023-08-28,28.66,1.0,1.0279364699155367,0
2023-08-29,27.63,1.0,1.0278494430014757,1
2023-08-30,26.63,1.0,1.0415200662309356,0
2023-08-31,26.56,1.0,1.0466953821524332,1
2023-09-01,27.48,1.0,1.0564453995152463,0
2023-09-05,28.65,1.0,1.0536604821717062,1
2023-09-06,28.33,1.0,1.0549802080310462,0
2023-09-07,27.59,1.0,1.044110497796575,1
2023-09-08,27.16,1.0,1.048404216959447,0
2023-09-11,24.37,1.0,1.0539554610659914,1
2023-09-12,24.23,1.0,1.0838307172109503,0
2023-09-13,25.06,1.0,1.0914620548587948,1
2023-09-14,26.56,1.0,1.1027533048946843,0
2023-09-15,27.16,1.0,1.0964296885547622,1
2023-09-18,27.91,1.0,1.0884645159541857,0
2023-09-19,30.32,0.9990830874120766,1.053644134213319,1
2023-09-20,30.38,0.9972460919162554,1.0355993668652854,0
2023-09-21,31.35,0.9934695957152615,1.013144832092557,1
2023-09-22,30.61,0.9905399584376197,1.0014127589471222,0
2023-09-25,30.96,0.987830166397635,0.9878301663976347,1
2023-09-26,31.3,0.9826231986372898,0.9826231986372894,0
2023-09-27,32.48,0.9776974434169141,0.9776974434169137,1
2023-09-28,31.62,0.9739097519589353,0.9739097519589348,0
2023-09-29,32.24,0.9706983170788552,0.9706983170788549,1
