date,ovx_level,gate_hmm_no_scaleup,gate_hmm_with_scaleup,state,prob_calm,prob_stress
2024-04-25,28.34,0.990603285414265,1.013103669630039,1,0.9999821626051192,1.7837394238121514e-05
2024-04-26,27.81,1.0,1.035003943390356,1,0.9999828963598923,1.7103640036918757e-05
2024-04-29,27.84,1.0,1.045709754403225,1,0.999984935121364,1.5064878381125135e-05
2024-04-30,27.87,1.0,1.051551656547988,1,0.9999875186546378,1.2481345202546172e-05
2024-05-01,28.7,1.0,1.0534947976671027,1,0.9999889569217366,1.1043078509196063e-05
2024-05-02,27.65,1.0,1.0576632672419124,1,0.9999916137282201,8.386271758596162e-06
2024-05-03,28.09,1.0,1.055966989713649,1,0.999992961034185,7.038965914241902e-06
2024-05-06,28.58,1.0,1.0515575245770472,1,0.9999933698747251,6.630125073455817e-06
2024-05-07,27.83,1.0,1.0518014133489264,1,0.9999936069748119,6.393025968366665e-06
2024-05-08,27.91,1.0,1.0564805038217344,1,0.9999938715833628,6.128417407983693e-06
2024-05-09,27.95,1.0,1.0546453679292946,1,0.999994088953107,5.911047178668948e-06
2024-05-10,27.88,1.0,1.055914701764101,1,0.9999941374834586,5.862515939209146e-06
2024-05-13,28.04,1.0,1.059111771913414,1,0.9999936441510804,6.355849435880865e-06
2024-05-14,28.01,1.0,1.058019211307813,1,0.9999929617872413,7.038212756595467e-06
2024-05-15,28.07,1.0,1.057052415559123,1,0.9999922299459204,7.770054956376394e-06
2024-05-16,27.08,1.0,1.0624749497633192,1,0.9999916826727996,8.317326501026033e-06
2024-05-17,28.06,1.0,1.061385902246187,1,0.9999912688125825,8.731186950876207e-06
2024-05-20,27.89,1.0,1.0622937315283358,1,0.9999916911182972,8.308880881480942e-06
2024-05-21,27.38,1.0,1.0661741830957028,1,0.9999922321632512,7.76783687120293e-06
2024-05-22,27.71,1.0,1.06836359440566,1,0.9999927032670443,7.29673280243724e-06
2024-05-23,28.66,1.0,1.0587359339677989,1,0.9999933677792632,6.6322209233448335e-06
2024-05-24,27.56,1.0,1.061792647171596,1,0.9999938017073156,6.19829181627992e-06
2024-05-28,27.53,1.0,1.0640077257368035,1,0.9999941030083551,5.896991958688729e-06
2024-05-29,26.77,1.0,1.0679212666730946,1,0.9999942839185337,5.716081206454362e-06
2024-05-30,29.24,1.0,1.0589524097324061,1,0.9999944288802571,5.571120199001441e-06
2024-05-31,30.34,0.9982049691038807,1.0497109081160099,1,0.9999944747603724,5.525240132749337e-06
2024-06-03,30.84,0.9938349911804216,1.031296649024761,1,0.999994245412568,5.754586644569668e-06
2024-06-04,30.59,0.9907430169293929,1.0139738152116187,1,0.9999939049143209,6.09508519613561e-06
2024-06-05,29.18,0.9907430169293929,0.9993747403967681,1,0.999993671881398,6.328118042990819e-06
2024-06-06,27.71,0.9907430169293929,1.0083435973374566,1,0.9999937499337423,6.2500666760931325e-06
2024-06-07,26.42,0.9925380478255125,1.0315402250487273,1,0.9999940676474103,5.932352303510246e-06
2024-06-10,25.69,0.9969080257489715,1.0623306878127265,1,0.9999944131078881,5.586892716686457e-06
2024-06-11,25.54,1.0,1.0929063629558906,1,0.9999946818057187,5.318193472326829e-06
2024-06-12,24.8,1.0,1.1213205719194144,1,0.9999948981606481,5.101839726829171e-06
2024-06-13,24.45,1.0,1.1437650083213575,1,0.9999950104899529,4.989510810861923e-06
2024-06-14,24.71,1.0,1.1559397268170588,1,0.999995077732201,4.922266976354191e-06
2024-06-17,24.17,1.0,1.1672611145555964,1,0.9999950265733771,4.973425904620937e-06
2024-06-18,23.73,1.0,1.1810393498749847,1,0.9999948831740709,5.116825389947273e-06
2024-06-20,24.23,1.0,1.185412191360651,1,0.9999947915374958,5.2084629561546945e-06
2024-06-21,24.74,1.0,1.1832006076843686,1,0.9999946927778045,5.307222692748221e-06
2024-06-24,25.42,1.0,1.177966692929243,1,0.9999945276217327,5.472377653421149e-06
2024-06-25,25.75,1.0,1.1662231413837976,1,0.9999946050684237,5.394932129248952e-06
2024-06-26,26.24,1.0,1.1475769795624178,1,0.9999947483476374,5.251651533978464e-06
2024-06-27,26.28,1.0,1.132650857674151,1,0.9999949582561152,5.041744074241695e-06
2024-06-28,26.54,1.0,1.119901543920969,1,0.9999948404516863,5.15954754549375e-06
2024-07-01,27.29,1.0,1.1072959127162156,1,0.9999946159677495,5.384031586136041e-06
2024-07-02,25.82,1.0,1.106805620662869,1,0.9999940340745226,5.965925099705434e-06
2024-07-03,24.62,1.0,1.1184489948869871,1,0.9999930716898136,6.928310427051507e-06
2024-07-05,23.78,1.0,1.136960358754027,1,0.999992134251455,7.865747978607813e-06
2024-07-08,23.81,1.0,1.1569731933950493,1,0.9999918157998977,8.184199208686391e-06
2024-07-09,24.19,1.0,1.178821033929284,1,0.9999922743198231,7.725680947483023e-06
2024-07-10,24.01,1.0,1.1923214637292567,1,0.999992896607855,7.1033923220128575e-06
2024-07-11,24.01,1.0,1.1970707738952524,1,0.9999934487710515,6.551229791210406e-06
2024-07-12,24.12,1.0,1.194350802403473,1,0.999994089040418,5.910959882806135e-06
2024-07-15,23.83,1.0,1.1941892356927128,1,0.9999945819037189,5.418095607168139e-06
2024-07-16,24.41,1.0,1.1924746632066023,1,0.9999949835399408,5.016459739876591e-06
2024-07-17,25.28,1.0,1.1828196895204859,1,0.9999954068804056,4.593119101914973e-06
2024-07-18,25.68,1.0,1.1703022488110535,1,0.9999956898447755,4.3101545309232505e-06
2024-07-19,26.83,1.0,1.1508569665856272,1,0.9999957705693615,4.229429987903579e-06
2024-07-22,26.83,1.0,1.1290960882042245,1,0.999995692942501,4.307057757353032e-06
2024-07-23,26.74,1.0,1.1125054724645802,1,0.9999955645496953,4.435450651200125e-06
2024-07-24,26.85,1.0,1.1017124329560353,1,0.99999541374524,4.586254003249674e-06
2024-07-25,26.49,1.0,1.0961548437426873,1,0.9999952858817934,4.714118971725331e-06
2024-07-26,29.77,1.0,1.0786992615982798,1,0.9999939203338002,6.079666278428443e-06
2024-07-29,30.82,0.9957315755251415,1.055740063303341,1,0.9999744173981567,2.558260198725742e-05
2024-07-30,31.49,0.9881244002078795,1.028853466326626,1,0.9995949115359192,0.00040508846468028216
2024-07-31,33.69,0.9703990156536946,0.9925676361868441,1,0.9932552849024,0.006744715096837184
2024-08-01,33.42,0.9538507589034303,0.9550859505791023,1,0.9268789766768938,0.07312102332222482
