Date,Regime,prob_bull,gate_continuous,gate_smoothed,oil_return,slope
2015-06-04,0,0.7416306155470878,0.7416306155470878,0.7729119904385149,-0.02838637098757116,-0.0951724137931035
2015-06-05,0,0.6692514930387682,0.6692514930387682,0.6496060632891454,0.018957104289858827,-0.11470140416173238
2015-06-08,0,0.5297816941560373,0.5297816941560373,0.5246403177856664,-0.016374235871604758,-0.11246775580395528
2015-06-09,0,0.3763141740896202,0.3763141740896202,0.4280845288243104,0.03381556345601445,-0.1228595178719867
2015-06-10,0,0.30622361209681875,0.30622361209681875,0.33998524011236364,0.019916714638312932,-0.14048239895697517
2015-06-11,0,0.2588516707403076,0.2588516707403076,0.2731658825807398,-0.010155697441397951,-0.14076391175502148
2015-06-12,0,0.22875504947903416,0.22875504947903416,0.23275064060996026,-0.012924786383205721,-0.11524349566377591
2015-06-15,0,0.19568490649791806,0.19568490649791806,0.20398695005792708,-0.007197286069098194,-0.13656979674113895
2015-06-16,0,0.17423796423572258,0.17423796423572258,0.1793708368784184,0.008030827836122587,-0.15180803199466755
2015-06-17,0,0.1624051593366528,0.1624051593366528,0.15462949380669852,-0.0020016687250504475,-0.15044247787610615
2015-06-18,0,0.13577110484276428,0.13577110484276428,0.13102491669741062,0.008645107874278803,-0.17050157258731993
2015-06-19,0,0.10504833412043477,0.10504833412043477,0.10576848004183367,-0.01316356590072447,-0.15145924186514584
2015-06-22,0,0.07766202095147853,0.07766202095147853,0.07821947265630814,0.006520126751496196,-0.17897017163806025
2015-06-23,0,0.047955780957837854,0.047955780957837854,0.053745902338257635,0.017181985555292302,-0.21195741195741194
2015-06-24,0,0.024660122409025136,0.024660122409025136,0.03435975871770635,-0.017181985555292215,-0.2004665889018497
2015-06-25,0,0.013403253252511743,0.013403253252511743,0.019656961358098447,-0.0070234402425339,-0.20842423225373385
2015-06-26,0,0.008117616017678375,0.008117616017678375,0.010304763044610558,-0.003025212391237618,-0.19256017505470457
2015-06-29,0,0.004148034153439003,0.004148034153439003,0.005382160199200606,-0.01817459792807454,-0.16403839561193007
2015-06-30,0,0.0011947893903984249,0.0011947893903984249,0.00271449739544535,0.019352157152378816,-0.18409549428379282
2015-07-01,0,4.710818197537554e-05,4.710818197537554e-05,0.0010909743053776303,-0.043642039742062856,-0.1726378644186863
2015-07-02,0,6.493923373545869e-05,6.493923373545869e-05,0.0002619368539234648,-0.0001756388869009817,-0.20516423678201298
2015-07-06,0,5.673397780178135e-10,5.673397780178135e-10,2.3157894654629272e-05,-0.08139029832715697,-0.12823932926829262
2015-07-07,0,2.846896168176005e-06,2.846896168176005e-06,1.3759311305882051e-05,-0.0028623242517171093,-0.13758838142556842
2015-07-08,0,8.945940542470635e-07,8.945940542470635e-07,9.58410906453052e-07,-0.013854368223480665,-0.1340825421429956
2015-07-09,0,1.1526523163945243e-07,1.1526523163945243e-07,1.024448428367407e-06,0.02203787568847795,-0.16849886277482942
2015-07-10,0,9.347317383136997e-07,9.347317383136997e-07,5.176291486074418e-07,-0.00037914692397314964,-0.14789533560864626
2015-07-13,0,3.307549493497926e-07,3.307549493497926e-07,3.4417995749903137e-07,-0.01048327526981887,-0.17397968959570798
2015-07-14,0,3.1279976937617845e-07,3.1279976937617845e-07,3.3971178479946376e-07,0.01634395940467027,-0.18529688972667294
2015-07-15,0,2.7348098705011425e-08,2.7348098705011425e-08,1.6179771493582127e-07,-0.03159669259887269,-0.1776264591439688
2015-07-16,0,9.292436814161434e-08,9.292436814161434e-08,1.1663393532646372e-07,-0.00977524890464233,-0.16601178781925335
2015-07-17,0,4.516138899548714e-08,4.516138899548714e-08,5.7054896550257633e-08,-0.0003930045246102828,-0.17590408805031452
2015-07-20,0,1.0493605130300484e-07,1.0493605130300484e-07,5.241652613288363e-08,-0.015249330060233442,-0.15026940730393137
2015-07-21,0,1.490457549514811e-08,1.490457549514811e-08,3.474589385658839e-08,0.00953333933221149,-0.1945048428543191
2015-07-22,0,4.156246618141419e-09,4.156246618141419e-09,2.591244163347148e-08,-0.026438551747972987,-0.16785061903795417
2015-07-23,0,4.571206760138117e-09,4.571206760138117e-09,5.324331585547775e-09,-0.02382532084450945,-0.15921845770110157
2015-07-24,0,9.94127879902603e-10,9.94127879902603e-10,2.695795656211553e-09,-0.0027057982998138675,-0.2034180908711963
2015-07-27,0,1.995501063386321e-09,1.995501063386321e-09,9.964664902706516e-09,-0.01702616011537811,-0.17002331990672043
2015-07-28,0,1.7618958484670038e-09,1.7618958484670038e-09,2.3835620284045068e-06,0.016817718217802254,-0.19741505107358764
2015-07-29,0,4.050059285061623e-08,4.050059285061623e-08,2.2747376706203877e-05,0.0165395542079888,-0.12917777322124266
2015-07-30,0,1.1872558024269138e-05,1.1872558024269138e-05,0.0003159862142933194,-0.004933206304836506,-0.0667628271172471
2015-07-31,0,0.00010182006751687674,0.00010182006751687674,0.0014415851636526034,-0.029696870705175123,0.04436425387391219
2015-08-03,0,0.001466196183436641,0.001466196183436641,0.0028999323538043235,-0.040282622566014586,0.0028729281767956366
2015-08-04,0,0.005627996508692268,0.005627996508692268,0.004080125971784197,0.010989121575595165,0.012021857923497206
2015-08-05,0,0.007291776451351453,0.007291776451351453,0.004697697439866022,-0.013644577882620391,0.035896299578993957
2015-08-06,0,0.005912840647923634,0.005912840647923634,0.00457805450189769,-0.009797450893549838,0.02976057283508627
2015-08-07,0,0.003189677407926004,0.003189677407926004,0.0034863586047739897,-0.018519047767237527,0.046728971962616925
2015-08-10,0,0.0008679814935949785,0.0008679814935949785,0.0021125105310024514,0.024097551579060524,-0.018024032042723525
2015-08-11,0,0.00016951702307376918,0.00016951702307376918,0.0010240485926428864,-0.04157327799813979,0.06355833913245192
2015-08-12,0,0.00042253608249376057,0.00042253608249376057,0.000525158397238641,0.0025483623196966947,0.03540027764923649
2015-08-13,0,0.00047053095612580937,0.00047053095612580937,0.0005373472022741898,-0.02222573650004133,0.04258339247693393
2015-08-14,0,0.0006952264309047761,0.0006952264309047761,0.0006305575825085653,0.004249298178657749,0.05017667844522957
2015-08-17,0,0.0009289255187727228,0.0009289255187727228,0.0005932610882538115,-0.012325351574685058,0.12377772477939418
2015-08-18,0,0.0006355689242456464,0.0006355689242456464,0.0006363179425491691,0.015383098282662096,0.10216063879755757
2015-08-19,0,0.0002360536112199915,0.0002360536112199915,0.0006105976423156982,-0.04392881977846167,0.09717791411042948
2015-08-20,0,0.0006858152276025972,0.0006858152276025972,0.00042580545869458944,0.006116227017436054,0.1382926829268293
2015-08-21,0,0.000566624929737422,0.000566624929737422,0.0003004941016277422,-0.013505423199807007,0.14140914709517918
2015-08-24,0,4.9646006671794235e-06,4.9646006671794235e-06,0.0002554702723299369,-0.056707704692373774,0.16509680795395087
2015-08-25,0,9.012138911409823e-06,9.012138911409823e-06,0.00011830722707030188,0.02404148362468523,0.1478927203065134
2015-08-26,0,1.0934464730964932e-05,1.0934464730964932e-05,4.982728310505916e-06,-0.016742181143073524,0.18311688311688304
2015-08-27,0,1.304422221266329e-12,1.304422221266329e-12,3.9898106486894425e-06,0.09813970303144129,0.04544384271250294
2015-08-28,0,2.435938442156604e-09,2.435938442156604e-09,2.1873828673614944e-06,0.06428831324294279,-0.0011039964672112422
2015-08-31,0,1.2358097056995145e-11,1.2358097056995145e-11,5.442196951556351e-10,0.08280736593013992,-0.08414634146341464
2015-09-01,0,4.7700818234005996e-15,4.7700818234005996e-15,6.42386199750812e-10,-0.08082214414656676,-0.013882767739092167
2015-09-02,0,2.7149263323918395e-10,2.7149263323918395e-10,2.818901339441115e-10,0.02007048174049266,-0.016414686825053953
2015-09-03,0,4.92136945197151e-10,4.92136945197151e-10,5.160293862425273e-10,0.009672294642507727,-0.010053475935828853
2015-09-04,0,6.334581131231015e-10,6.334581131231015e-10,5.443746870401178e-10,-0.015738171127476084,0.05454150369404602
2015-09-08,0,1.1830543585490743e-09,1.1830543585490743e-09,5.89522284873938e-10,-0.0021753325959088295,0.04224738675958183
2015-09-09,0,1.4173127406977543e-10,1.4173127406977543e-10,5.289010448647176e-10,-0.03976092872985516,0.12077951506911394
2015-09-10,0,4.972306224082853e-10,4.972306224082853e-10,4.664479728493273e-10,0.03823537542101809,0.08331515812431843
2015-09-11,0,1.8903074515104902e-10,1.8903074515104902e-10,3.9465612764410047e-10,-0.024283753981609504,0.05229050279329617
2015-09-14,0,3.211927530461499e-10,3.211927530461499e-10,3.676348316669004e-10,-0.015312165866968779,0.05967778534150221
2015-09-15,0,8.240951325229405e-10,8.240951325229405e-10,3.290113661625103e-10,0.011506049103827137,0.04598474652310463
2015-09-16,0,6.62479418377505e-12,6.62479418377505e-12,2.9133616129396557e-10,0.05541221138560843,-0.01570458404074692
2015-09-17,0,3.041132948863347e-10,3.041132948863347e-10,2.2883973044664772e-10,-0.004040409537004974,0.00788408267632639
2015-09-18,0,6.547208083251734e-13,6.547208083251734e-13,7.932551954456363e-11,-0.048459939560436975,0.026839633191679618
2015-09-21,0,8.710598809560767e-12,8.710598809560767e-12,7.907151583021167e-11,0.04290436971583506,-0.017784443968287943
2015-09-22,0,7.652407801251999e-11,7.652407801251999e-11,4.29180555768175e-11,-0.010771323442826641,-0.02057613168724286
2015-09-23,0,5.354775612015236e-12,5.354775612015236e-12,3.3132580633586894e-09,-0.0361671171852865,0.008309005165057207
2015-09-24,0,1.233459936193639e-10,1.233459936193639e-10,6.819336192463987e-09,0.00916514742357207,-0.02291944815309304
2015-09-25,0,1.6352354759717684e-08,1.6352354759717684e-08,3.3655367158678578e-06,0.013482356948784304,-0.0518111964873765
2015-09-28,0,1.7539101244336052e-08,1.7539101244336052e-08,0.00038033702546864744,-0.02557115426778823,-0.02680180180180175
2015-09-29,0,1.6793663422454982e-05,1.6793663422454982e-05,0.0009038284418888461,0.018742181809740664,0.015251989389920374
2015-09-30,0,0.0018848574491186737,0.0018848574491186737,0.0013893646757464015,-0.003986716243821345,0.021304926764314266
2015-10-01,0,0.002617457205446987,0.002617457205446987,0.0017860616556692008,-0.006903490283233995,0.04134078212290506
2015-10-02,0,0.0024276975216425355,0.0024276975216425355,0.001819436857160273,0.01749961591472924,0.012736056214317046
2015-10-05,0,0.0019835024387152415,0.0019835024387152415,0.0014845527648584126,0.016118841689882417,0.03457216940363011
2015-10-06,0,0.00018366967087781626,0.00018366967087781626,0.0009825482965824897,0.047472261091649065,-0.045538841953430886
2015-10-07,0,0.00021043698760937217,0.00021043698760937217,0.0005261577275595797,-0.013902080936897546,-0.054116172168825666
2015-10-08,0,0.00010743486406737196,0.00010743486406737196,0.00012965310986359248,0.03288417961304288,-0.10392236150424586
2015-10-09,0,0.00014574467652798547,0.00014574467652798547,9.956825740711629e-05,0.004236867025988942,-0.11677068653110538
2015-10-12,0,9.793502353055592e-07,9.793502353055592e-07,7.003897458555802e-05,-0.05334046486379587,-0.060734763219367306
2015-10-13,0,3.324540859543524e-05,3.324540859543524e-05,7.089438950929647e-05,-0.008316499580611545,-0.08029978586723768
2015-10-14,0,6.279057350158078e-05,6.279057350158078e-05,0.0001841675325984224,-0.0015000538546221475,-0.10486811065837444
2015-10-15,0,0.00011171193868606426,0.00011171193868606426,0.0003831105168306345,-0.005375778992843903,-0.12268219059939639
2015-10-16,0,0.0007121103919736151,0.0007121103919736151,0.00108505333059768,0.019641963670501587,-0.1188160676532769
2015-10-19,0,0.000995694271396366,0.000995694271396366,0.0022841761224281516,-0.029827337236756582,-0.11282944892180354
2015-10-20,0,0.003542959477430663,0.003542959477430663,0.0035852709615868,-0.0015258858546464114,-0.11103839441535783
2015-10-21,0,0.006058404532653938,0.006058404532653938,0.004750831453349734,-0.013617605556660488,-0.10327288810260951
2015-10-22,0,0.006617186134479308,0.006617186134479308,0.006189562479232689,-0.007101672101615164,-0.12271714922048994
2015-10-23,0,0.006539912850788284,0.006539912850788284,0.006907207153119372,-0.022295710174582564,-0.10567069004782495
2015-10-26,0,0.008189349400811145,0.008189349400811145,0.00571041803717696,-0.016533097601016258,-0.053253067839777665
2015-10-27,0,0.007131182846864074,0.007131182846864074,0.004414405269020183,0.0004629629712320226,-0.04605415413098824
2015-10-28,0,7.445895294188138e-05,7.445895294188138e-05,0.0031277659637431775,0.06104654839386026,-0.11669932505987371
2015-10-29,0,0.00013712229369541583,0.00013712229369541583,0.0014984952786044573,0.0019575862695178506,-0.12146892655367238
2015-10-30,0,0.00010671632440326148,0.00010671632440326148,7.406508884535179e-05,0.01252445652438035,-0.12918454935622323
2015-11-02,0,4.299597511754221e-05,4.299597511754221e-05,5.9787343653272704e-05,-0.01035384573074199,-0.13421509106678225
2015-11-03,0,9.03189806854706e-06,9.03189806854706e-06,3.249850226787179e-05,0.03745118528891423,-0.14202172096908947
2015-11-04,0,3.0702269814859485e-06,3.0702269814859485e-06,1.1253589415171817e-05,-0.03312404742503265,-0.13644214162348878
2015-11-05,0,6.780867684112334e-07,6.780867684112334e-07,5.42252976695628e-06,-0.02292927181687255,-0.16854428981665567
2015-11-06,0,4.917601397616103e-07,4.917601397616103e-07,6.331068909528406e-06,-0.021208519008838862,-0.15478339350180503
2015-11-09,0,1.3840676876464524e-05,1.3840676876464524e-05,5.958059102475663e-06,-0.010205327260905794,-0.15295190335080924
2015-11-10,0,1.357459378140769e-05,1.357459378140769e-05,6.182322410371088e-06,0.008172576702112713,-0.1688898937372824
2015-11-11,0,1.205177946222234e-06,1.205177946222234e-06,6.57162420987875e-06,-0.029366643449970867,-0.1699650756693831
2015-11-12,0,1.7994033078883628e-06,1.7994033078883628e-06,4.133937532328065e-06,-0.028576746781209715,-0.13009103977000477
2015-11-13,0,2.4382691372999134e-06,2.4382691372999134e-06,1.5974111739608015e-06,-0.025477539635456185,-0.08282133202260993
2015-11-16,0,1.6522434887111043e-06,1.6522434887111043e-06,1.8188969561328193e-06,0.02403903543151291,-0.14707293666026877
2015-11-17,0,8.919619895713697e-07,8.919619895713697e-07,1.967188750154583e-06,-0.023056475784790375,-0.1411735821261969
2015-11-18,0,2.3126068570823226e-06,2.3126068570823226e-06,2.8191297655037984e-06,0.0004909180265505915,-0.1479754601226994
